traffic_source,created_at,total_margin,smoothed_margin
Display,2019-03-18T00:00:00.000000+0000,0.0,
Display,2019-04-15T00:00:00.000000+0000,0.0,
Display,2019-04-29T00:00:00.000000+0000,301.45148738971864,
Display,2019-05-06T00:00:00.000000+0000,228.1706125577943,
Display,2019-05-20T00:00:00.000000+0000,0.0,175.24133950485032
Display,2019-06-17T00:00:00.000000+0000,563.6656165702987,241.3397771805909
Display,2019-06-24T00:00:00.000000+0000,0.0,264.87027709525194
Display,2019-07-01T00:00:00.000000+0000,308.642999520991,227.1888411715371
Display,2019-07-15T00:00:00.000000+0000,528.7875014059246,212.79763862132566
Display,2019-07-22T00:00:00.000000+0000,188.24399931728846,258.87651369653645
Display,2019-07-29T00:00:00.000000+0000,0.0,192.58984903405235
Display,2019-08-05T00:00:00.000000+0000,113.04099215610258,208.29203661646602
Display,2019-08-19T00:00:00.000000+0000,368.63100060168654,183.48698289455479
Display,2019-08-26T00:00:00.000000+0000,33.37229927042575,133.5952952056714
Display,2019-09-09T00:00:00.000000+0000,125.61750065930933,113.9894852168723
Display,2019-09-23T00:00:00.000000+0000,110.20256974570111,139.70560166423715
Display,2019-09-30T00:00:00.000000+0000,129.6539998948574,138.1854564044235
Display,2019-10-14T00:00:00.000000+0000,31.39751940689564,106.45687515627814
Display,2019-10-21T00:00:00.000000+0000,205.728931578919,143.72480267022885
Display,2019-10-28T00:00:00.000000+0000,100.8798300775933,136.59736503571887
Display,2019-11-04T00:00:00.000000+0000,114.80235061652363,156.5157937873314
Display,2019-11-18T00:00:00.000000+0000,331.51571938203153,155.47094628093475
Display,2019-11-25T00:00:00.000000+0000,68.59799958322942,180.04718630091347
Display,2019-12-02T00:00:00.000000+0000,269.5499997586012,179.81875103821753
Display,2019-12-09T00:00:00.000000+0000,121.29521984368444,219.95545472862113
Display,2019-12-23T00:00:00.000000+0000,228.00743956672537,259.5817979683099
Display,2019-12-30T00:00:00.000000+0000,203.90144947735146,229.7752904555411
Display,2020-01-06T00:00:00.000000+0000,421.973459600822,224.74429051224746
Display,2020-01-13T00:00:00.000000+0000,431.8130965340338,236.01341565857314
Display,2020-01-27T00:00:00.000000+0000,93.0636592798812,249.49701326971564
Display,2020-02-03T00:00:00.000000+0000,28.350000036880374,228.03620936810478
Display,2020-02-17T00:00:00.000000+0000,359.7030009292066,239.95477807726508
Display,2020-02-24T00:00:00.000000+0000,229.1640007328242,187.20809562716232
Display,2020-03-02T00:00:00.000000+0000,56.321008353838465,179.51154676328795
Display,2020-03-16T00:00:00.000000+0000,299.2499991506338,187.3609117431334
Display,2020-03-23T00:00:00.000000+0000,0.0,274.2603628404557
Display,2020-03-30T00:00:00.000000+0000,370.24070562303893,258.19348774451083
Display,2020-04-06T00:00:00.000000+0000,155.85857911864488,284.3034925994073
Display,2020-04-13T00:00:00.000000+0000,723.5456088154586,302.25499429561546
Display,2020-04-20T00:00:00.000000+0000,231.1680001616478,343.7363694620633
Display,2020-04-27T00:00:00.000000+0000,438.0440395719959,368.7698244694933
Display,2020-05-04T00:00:00.000000+0000,199.9330219235034,355.8860175970968
Display,2020-05-11T00:00:00.000000+0000,631.1010004822165,348.7312577375584
Display,2020-05-18T00:00:00.000000+0000,200.26764005944028,327.9419290799592
Display,2020-05-25T00:00:00.000000+0000,267.17025064386706,301.3002527561714
Display,2020-06-01T00:00:00.000000+0000,98.62050024233758,246.54474780967186
Display,2020-06-08T00:00:00.000000+0000,557.2309795546648,233.9178524094701
Display,2020-06-15T00:00:00.000000+0000,18.03458957134545,207.921741978634
Display,2020-06-22T00:00:00.000000+0000,0.0,280.6500114086323
Display,2020-06-29T00:00:00.000000+0000,98.91785872188899,274.6735907910811
Display,2020-07-06T00:00:00.000000+0000,423.1321170355278,262.3460282607889
Display,2020-07-13T00:00:00.000000+0000,782.0937954994263,323.77567110328806
Display,2020-07-20T00:00:00.000000+0000,219.35888570345804,336.61623011718643
Display,2020-07-27T00:00:00.000000+0000,0.0,412.5039641677301
Display,2020-08-03T00:00:00.000000+0000,1048.668122294658,492.94014885555464
Display,2020-08-10T00:00:00.000000+0000,120.75906168253238,538.059953171879
Display,2020-08-17T00:00:00.000000+0000,607.1018724043491,486.50666660951015
Display,2020-08-24T00:00:00.000000+0000,742.4073362244856,549.396410026586
Display,2020-08-31T00:00:00.000000+0000,784.0905515661227,573.4775529133472
Display,2020-09-07T00:00:00.000000+0000,369.66750300047545,472.72685014474547
Display,2020-09-14T00:00:00.000000+0000,722.4768330400639,532.2319049330339
