city,total_margin,orders_count,lat,lon
London,15090.183837777013,922,51.52013390262473,-0.10719180030054339
Madrid,10370.00241256112,753,40.425173481075696,-3.675784647682603
Paris,8256.636505914968,480,48.8596933614375,2.339198946072917
Berlin,5731.691274473261,441,52.49941087995465,13.428213501133786
Barcelona,4239.435181485714,290,41.397773232344825,2.1553944544551724
Hamburg,4238.441620779613,275,53.55387065752728,10.013640240483635
München,3121.575691359369,219,48.14782172127854,11.552493909452055
Köln,2922.5853533149034,166,50.944065908554215,6.953641027638555
Gorzów Wielkopolski,2506.580280886279,186,52.38014748,15.33408923
Málaga,2475.3760874890654,118,36.72643563949153,-4.460058291576272
Sevilla,2452.3485031364585,156,37.39635845839744,-5.953660203884615
Bogatynia,2426.8239841824357,142,51.22152827,15.726955070000002
Marseille,2426.168679905835,172,43.30355756366279,5.405542468645349
Toulouse,2224.2766018703423,143,43.601972581398606,1.4309318613076922
Valencia,2188.927738142753,160,39.4646419515625,-0.368597524731875
Birmingham,1909.2419741258643,134,52.461242762761195,-1.8856974591343283
Dortmund,1784.5537445145385,102,51.520529700686275,7.461990772323529
Antwerp,1784.4563633217338,125,51.24377983904,4.393030458768
Frankfurt am Main,1670.292133060715,132,50.11873502681818,8.618135366530304
Coventry,1621.9884552095928,77,52.41732710844156,-1.5037616762337662
Zaragoza,1608.1020356458923,84,41.64959925595238,-0.9022163808964285
Duisburg,1463.3710676479432,78,51.469832457692306,6.733872780576923
Dresden,1463.08072457119,86,51.06210621779069,13.755325272674419
Sheffield,1449.0199610665816,86,53.38501347186047,-1.502693504976744
Nantes,1337.7326100468276,70,47.223562820714285,-1.5539234271
Strasbourg,1285.5431482822814,86,48.57636620906977,7.770044206848838
Nürnberg,1275.177013800838,73,49.45094514931507,11.05905748479452
Valladolid,1275.051447651839,57,41.6419513777193,-4.7416586114912285
Stoke-on-Trent,1269.0329117947992,62,53.006575873225806,-2.1613791578225805
null,1240.0334615567808,60,41.14497815083333,-1.5000568079973333
Nice,1207.8074340911512,65,43.71061381738462,7.238850546215384
Schaerbeek,1204.8897667620165,47,50.86181791,4.386214686
Stuttgart,1197.825875681293,95,48.78480868452632,9.174282282042105
Hannover,1189.9640317763035,87,52.38138435183908,9.771775177850575
Herne,1179.1921624660777,41,51.540672830975616,7.212910323512196
Bilbao,1177.898320709965,71,43.254603864788734,-2.923088654197183
Manchester,1157.624540529641,82,53.467186358292686,-2.223617045707317
Palma,1146.8697348059322,86,39.582740805,2.657682328651163
Angers,1144.9084180394514,44,47.49141408909091,-0.5451941406727273
Bristol,1107.0352334886843,121,51.46369083057851,-2.581680976380165
Toulon,1078.5489509738163,52,43.13386336865385,5.949695983346154
Lyon,1031.6585242225099,90,45.743694762333334,4.846031041288889
Mönchengladbach,1031.2120772102126,43,51.165085027906976,6.437531966418604
Leipzig,987.1012676793143,66,51.34879847030303,12.350099275909091
Brussels,980.6012038032217,61,50.86880884721312,4.3734927118688525
San Sebastián,952.0643358079963,51,43.3049834845098,-1.9653093730980393
Düsseldorf,945.5743504362113,76,51.215214290789476,6.8083245329078945
Nottingham,937.2570033090344,81,52.97998768975308,-1.1591393586296295
Montreuil,928.6130499339542,34,48.86350633,2.448628269
Bordeaux,911.3779547379738,64,44.8511444578125,-0.5806617516109375
Ulm,908.5094527964909,31,48.396175395161286,9.953538561096774
Lübeck,906.3835283291803,63,53.866103151587296,10.701010346825397
Bochum,895.9235099782117,59,51.483928493389826,7.225636521220339
Leicester,895.3135368856412,84,52.630342877738094,-1.1161543007619048
Rivas-Vaciamadrid,893.7635732215095,32,40.36856181,-3.52481419690625
Leeds,888.0042360370486,81,53.82250446604938,-1.5267702553950617
Swindon,875.7557782839356,46,51.57758335304347,-1.7765273024565218
Schwedt/Oder,870.8295016293754,60,52.9910920225,14.662023244166667
Córdoba,858.4268130591469,70,37.86825463342857,-4.782564197628571
Sabadell,856.3654228218751,49,41.54487861183674,2.1026198856938776
Fronton,851.0580492327304,16,43.80864477,1.399302134
Enfield,848.4514933313319,32,51.6608527846875,-0.055581253185625
Edinburgh,844.6239271223374,63,55.935653435873014,-3.251483520809524
Newcastle upon Tyne,843.5575366723099,63,54.98998731253968,-1.6196670613174604
Tours,835.3236488851197,45,47.40003241266667,0.6958197228755556
Alicante (Alacant),833.3626362068092,61,38.358304845081975,-0.4932091899885246
L'Hospitalet de Llobregat,829.4986855672024,65,41.36123739738461,2.1142111642000003
Badalona,826.3600550583217,39,41.452660906153845,2.237574204230769
Krefeld,824.2233260308069,53,51.31547646924528,6.564575430264151
Nanterre,804.1580206521805,39,48.89620701,2.206929732
Viladecans,802.4971291802777,30,41.30310214,2.032023105
Cartagena,798.0821117726501,42,37.61602024214286,-0.9857328401023809
Rotherham,797.1994052375095,29,53.43355113275862,-1.3509327336896553
Ghent,793.1903167862207,56,51.07638386196429,3.7326299784285717
Oxford,781.6630924587289,57,51.75976178771929,-1.2583621644385965
Albacete,781.1818852123228,49,39.0203051755102,-1.8855159115306122
Glasgow,773.117897030184,56,55.86688767696428,-4.262622395946428
Münster,770.4082085403943,76,51.95510693605263,7.647461803631579
Mannheim,767.1770815918162,38,49.50741818842105,8.50267476968421
Essen,763.6383734063255,51,51.453339054705886,6.943564692254902
Peterborough,761.4411983102899,54,52.59787736370371,-0.22984023863703704
Slough,749.9812214020684,43,51.532769167441856,-0.6212548964930232
Hounslow,749.959031383592,40,51.472588720500006,-0.37986393347999997
Anderlecht,749.7445009518124,27,50.828936430000006,4.292895927
Croydon,746.2731603127247,53,51.365506319999994,-0.06564003382
Grenoble,746.0573775489363,40,45.180423231999995,5.7218976252000004
Kingston upon Hull,738.7186657644507,54,53.78072308722222,-0.3503638740703704
Liverpool,738.5925815927553,50,53.4336482242,-2.9301356414
Montpellier,728.3401998125629,44,43.61606969113637,3.8698868736136363
Bremen,724.5365085511343,66,53.08879353166667,8.768708984469697
Plymouth,724.4430284223935,48,50.39366642854167,-4.09962852325
Warrington,719.0740202484999,38,53.387618105,-2.5775550978947366
Aachen,707.6311400376973,34,50.76922361264706,6.0805035017647056
Brighton,705.3515024094776,53,50.84338343622642,-0.09774207190113207
Wolverhampton,698.17117459775,33,52.61002850787879,-2.1560865706666665
Düren,695.3700720750186,17,50.79106413058824,6.449648906764706
Vigo,695.1095595859415,28,42.218743717857144,-8.726714839892857
Rochdale,691.7952985906335,35,53.62958718857143,-2.179547865314286
San Fernando,675.2217370296172,34,36.45515481,-6.200303708
Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur,674.4127331839247,19,47.44514318,5.583592201
Derby,672.7094425350613,53,52.91375829150944,-1.4753129271509433
Bielefeld,669.2204338254489,39,52.0121932025641,8.558059143871795
Vitoria-Gasteiz,663.4431806287051,27,42.85612766370371,-2.683414896629629
Terrassa,658.1390834029435,39,41.565280851282054,2.017536056102564
Bad Segeberg,638.9326377714468,11,53.94117862,10.31069069
Recklinghausen,632.7117427940932,27,51.60730233666667,7.209889511925926
Reading,629.0775700663671,36,51.465426658888894,-0.9792762842333332
Annonay,624.0533714107779,12,45.25212981000001,4.644424853
Vénissieux,616.1488324968387,16,45.70424673,4.881208218
Hyères,606.1476991772308,8,43.10105626,6.190730405
Huddersfield,604.2293870234222,23,53.65345822608696,-1.8154111538695654
Ilford,599.7806185955567,39,51.58114733205128,0.08027151136538462
Cornebarrieu,589.767003598188,10,43.66003764,1.319418641
Burgos,588.176254528386,43,42.35503805465116,-3.6880556660232555
Mataró,588.0085108379426,34,41.5459159117647,2.4442041005588235
Almería,587.7891719469688,28,36.859080830714284,-2.455144525357143
Leuven,579.030472183696,25,50.8821059764,4.69852562948
Augsburg,577.9350690431597,44,48.3536533875,10.887570723863636
Bolton,577.0579318360412,51,53.586521551960786,-2.4322346683137255
Perpignan,576.515634190733,30,42.69112702666667,2.899822487333333
Colchester,574.5550078222749,37,51.90955418621622,0.8955897586216216
Moers,574.4611601836192,21,51.46683968714286,6.618867395190476
Granada,574.4185140241615,49,37.17868264081633,-3.6002869049795914
Welwyn Garden City,574.1026758745471,13,51.79607095000001,-0.1841749149
Jena,573.0384966558275,29,50.9173623924138,11.578592023448277
Erkrath,566.5466293441116,24,51.217380819999995,6.927811762
Castellón de la Plana,566.2559511236765,43,40.007585172325584,-0.050724756210232556
Hagen,566.0120941985244,18,51.36574442222222,7.468119174944444
Oviedo,554.0856355291716,38,43.37637068026316,-5.843625898368421
Karlsruhe,552.3669229220399,48,49.00905834708333,8.386105407958334
Cambuslang,552.0760740129131,24,55.80034537,-4.129262636
Alboraya,550.2015982293241,6,39.49632889,-0.3399196029
Getafe,546.4550903871188,25,40.2960071052,-3.72141179588
Lille,545.6178121543167,45,50.634067159111105,3.052107223266667
Rugby,545.5610116786977,18,52.37752550055555,-1.2493611234444444
Gelsenkirchen,544.8876349407603,31,51.562791613225805,7.082699103580645
Charleroi,543.0994769433719,38,50.41671214973684,4.447477437684211
Boulogne-Billancourt,537.9763353188968,43,48.83637238,2.2391881
Brest,533.9990173160819,33,48.40012992,-4.502250492
Ludwigshafen am Rhein,533.0488986911707,30,49.482472732,8.3975523229
