category,brand,complete_cnt,returned_cnt,avg_margin,avg_price,purchases,buyout_rate,buyout_smooth,expected_margin,log_purchases,margin_norm,buyout_norm,popularity_norm,boost,actual_score,rating,rating_boosted,price_1,price_2,product_1,product_2,product_name_1,product_name_2
Accessories,JiMarti,14,1,16.58142383392513,27.083334096272786,14,0.9333333332711111,0.8459831070244842,14.027604453913815,2.70805020110221,0.028843860453762894,0.8515678702582435,0.5101570521618279,1.1,0.48422645189160357,4.55,5.005,34.95000076293945,24.950000762939453,29019,29094,JiMarti JMP01 POLARIZED Sunglasses for Golf Fishing Cycling-Unbreakable-... Frame,JiMarti JM63 Sport Wrap Sunglasses for Cycling Running Fishing Golf TR90 Frame
Accessories,K. Alexander,14,1,4.9506899268245075,8.496666526794433,14,0.9333333332711111,0.8459831070244842,4.188200046209813,2.70805020110221,0.006350151933165663,0.8515678702582435,0.5101570521618279,1.1,0.4718549122052751,4.55,5.005,9.949999809265137,7.5,28430,28690,New Mens Solid Black Retro Skinny Necktie 1.5 Tie,Solid red polyester tie
Accessories,Magic,14,1,3.201816026191304,5.156666692097982,14,0.9333333332711111,0.8459831070244842,2.7086822699581066,2.70805020110221,0.0029678494856729253,0.8515678702582435,0.5101570521618279,1.1,0.4699946458591541,4.55,5.005,4.130000114440918,4.039999961853027,28970,28530,Long Beanie-Black W16S24E,Solid Blank Short Beanie Cap - (Many Colors Available)
Accessories,Harley-Davidson,35,7,12.710190869858206,21.045238699231827,35,0.8333333333134921,0.8105688014540788,10.302484179633542,3.58351893845611,0.02135693945594974,0.7624768554334822,0.6750825583900805,1.1,0.4311085871891876,4.29,4.719,7.949999809265136,24.950000762939453,28753,29061,Harley-DavidsonÂ® Medallion Leather Key Ring. K10H,Harley DavidsonÂ® Men's Biker Chain Wallet. Embroidery. TC817H-2B
Accessories,Carhartt,64,15,14.579361086683301,24.136455753181554,64,0.8101265822682262,0.7994334570293495,11.655229034806405,4.174387269895637,0.02497189362552083,0.734463906450193,0.7863935104766699,1.1,0.4176896900416427,4.2,4.620000000000001,14.010000228881836,50.0,28652,28957,Carhartt Men's Suede Work Glove with Safety Cuff,Carhartt Men's Peninsula Trapper Hat
Accessories,SmartWool,9,0,23.560289258412354,39.077778286404076,9,0.9999999998888889,0.8499777724006371,20.02572218097999,2.302585092994046,0.042340907666497445,0.8616171649292707,0.4337733557950667,1.0,0.45197903629788405,4.58,4.58,49.950000762939446,24.0,28738,28460,Smartwool Longview Scarf,Smartwool Liner Gloves
Accessories,Isotoner,23,5,17.927171303294433,29.348214626312256,23,0.8214285713992346,0.7934099388318975,14.223595887175783,3.1780538303479458,0.031446520918709475,0.7193106699153257,0.5986988620233192,1.1,0.41291645495871937,4.16,4.5760000000000005,23.5,33.95000076293945,28776,28354,ISO Isotoner Smartouch Gloves,Isotoner Men's Spandex Glove With Suede Palm Strips
Accessories,Dorfman Pacific,15,3,17.34916442937564,29.647777716318767,15,0.8333333332870371,0.7910563455575751,13.724166611979367,2.772588722239781,0.03032866212762378,0.7133897854050463,0.522315165656558,1.1,0.40904514614296855,4.14,4.554,50.0,15.5,28881,28455,Dorfman Pacific Men's 1 Piece Garment Washed Twill Outback Hat With Genuine Leather Trim,Classic Nautical Captain's Hat by Dorfman Pacific
Accessories,Wurkin Stiffs,8,0,23.520000064745545,40.0,8,0.999999999875,0.8416432042006724,19.795448217292464,2.1972245773362196,0.04226298881923383,0.840650069087596,0.4139249755618016,1.0,0.4414565289534149,4.52,4.52,40.0,40.0,28425,28388,Wurkin Stiffs 3 Pairs of Assorted Collar Magnetic Power Stays,Wurkin Stiffs 2.5-inch Power Collar Stays 6 Set
Accessories,Electric,7,0,35.90181484701374,62.58571515764509,7,0.9999999998571428,0.8323280985654179,29.882089286662634,2.0794415416798357,0.06620927930210088,0.8172162560880778,0.3917363742424185,1.0,0.4417127676950893,4.45,4.45,61.150001525878906,64.5,29011,29017,Electric Visual KB1 Wrap Sunglasses,Electric Visual Tonette Round Sunglasses
Accessories,TheTieBar,45,12,10.109991993021808,17.077719069363777,45,0.789473684196676,0.7783519056061508,7.86913153343145,3.828641396489095,0.016328184082616427,0.6814294961992489,0.721260044523045,1.1,0.38376672415502594,4.04,4.444000000000001,19.989999771118164,15.989999771118164,28810,28841,100% Silk Knit Black Skinny Tie,100% Silk Woven Colorful Gingham Earth Self-Tie Bow Tie
Accessories,Levi's,27,7,12.123184425956126,20.282941145055435,27,0.7941176470354672,0.7761267653548205,9.409127914317263,3.332204510175204,0.020221675597769252,0.675831758225132,0.6277385956210967,1.1,0.3828293886025957,4.03,4.433000000000001,18.350000381469727,22.5,28635,28918,Levi's Men's Big And Tall Cotton Terry Suspender,Levi's Men's Big And Tall Brown To Black Reversible Belt
Accessories,Kangol,22,6,24.702564461312484,42.396428789411274,22,0.7857142856862245,0.7670941493582133,18.94919267241693,3.1354942159291497,0.044550055057330215,0.6531085983975229,0.5906812531089055,1.1,0.38371225940016923,3.96,4.356,54.0,23.950000762939453,28671,29078,Kangol Men's Herringbone 504 Hat,Kangol Men's Cuff Less Pull On
Accessories,Geoffrey Beene,15,4,15.669124285844463,26.190526359959648,15,0.7894736841689751,0.7637785405383484,11.967740878556274,2.772588722239781,0.027079483391927534,0.6447675918532482,0.522315165656558,1.1,0.3695158913848467,3.93,4.323,24.989999771118164,23.590000152587887,28986,29049,Geoffrey Beene Men's Credit Card Trifold,Geoffrey Beene Mens Mirage Slim Gusseted Card Case
Accessories,John Deere,5,0,12.620579995394944,22.795999908447264,5,0.9999999998,0.8099718450408069,10.222314464355142,1.791759469228055,0.021183633032937018,0.7609751048892335,0.33754127919504023,1.0,0.39107936896108525,4.28,4.28,26.0,17.989999771118164,28907,28513,John Deere Men's 38mm Belt,John Deere Men's 2 Logger Style Suspender
Accessories,Port Authority,5,0,4.648044157881798,7.986000251770021,5,0.9999999998,0.8099718450408069,3.764784902390663,1.791759469228055,0.005764838421055027,0.7609751048892335,0.33754127919504023,1.0,0.38336997165514425,4.28,4.28,8.640000343322756,5.369999885559082,28593,28963,Port Authority - Extra Long Fleece Scarf,Port Authority - Stretch Fleece Headband
Accessories,SethRoberts,5,0,10.886400027573108,18.0,5,0.9999999998,0.8099718450408069,8.81767751618568,1.791759469228055,0.017829748486182115,0.7609751048892335,0.33754127919504023,1.0,0.3894024266877078,4.28,4.28,18.0,18.0,28489,28499,SethRoberts-Men's Traditional Herringbone Weave Cashmere Feel Winter Scarf,SethRoberts-Classic Cashmere Feel Men's Winter Scarf in Rich Plaids
Accessories,Tommy Hilfiger,29,9,13.495904053865335,23.089473824752005,29,0.7631578947167591,0.753116201575252,10.163983997871107,3.4011973816621555,0.022876499913872087,0.6179445726431337,0.6407358435759675,1.1,0.3524515899063532,3.85,4.235,15.640000343322754,28.989999771118164,28980,28477,Tommy Men's Oxford Zip Around Wallet,Tommy Hilfiger Men's Vachetta Two Tone Dress Belt
